state,district,flood_date,flood_cause,river_basin,latitude,longitude,source
Sarawak,Samarahan,2026-02-25,"Air Laut Pasang, Air Sungai Melimpah, Saliran Dalaman",Batang Samarahan (SAMATP0003 - Kg. Baru); Batang Samarahan (Kampung Sg. Batu),1.438020,110.476780,JPS/DID
Sarawak,Samarahan,2026-02-25,"Longkang Tersumbat, Saliran Dalaman",Sungai Sarawak (Taman Samarindah Lrg 29F),1.438020,110.476780,JPS/DID
Selangor,Sepang,2026-02-25,"Longkang Tersumbat, Saliran Dalaman","Sungai Langat (Terowong Flyover PLUS, Jalan Ayer Hitam B13)",2.805410,101.681090,JPS/DID
Johor,Johor Bahru,2026-02-25,"Air Laut Pasang, Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Tebrau (PLTGTP0002 - Kg. Plentong Baru),1.480505,103.782305,JPS/DID
Johor,Johor Bahru,2026-02-25,"Air Laut Pasang, Longkang Tersumbat, Saliran Dalaman",Sungai Tebrau (TBRATP0004 - Kg. Kangkar Tebrau),1.480505,103.782305,JPS/DID
Sabah,Membakut,2026-02-25,"Air Laut Pasang, Air Sungai Melimpah",Sungai Membakut (Kg. Sinoko); Sungai Membakut (Kg. Bambangan); Sungai Membakut (Kg.Baitam Laut); Sungai Membakut (Kg. Ulu Baitam); Sungai Membakut (Kg. Jambatan Baru); Sungai Membakut (Kg.Kayai); Sungai Membakut (Kg. Limpayau); Sungai Membakut (Kg. Lampijas); Sungai Membakut (Kg. Lumantak); Sungai Membakut (Kg. Sindok); Sungai Membakut (Kg Takapan); Sungai Membakut (Kg Mandangin); Sungai Membakut (Kg. Labak); Sungai Membakut (Kg. Limadang); Sungai Membakut (Kg. Brunei); Sungai Membakut (Kg Papas); Sungai Membakut (Kg Biau); Sungai Membakut (Kg. Pelalai); Sungai Membakut (Kg Ganggas); Sungai Membakut (Kg Pimping); Sungai Membakut (Kg Bandau); Sungai Membakut (Kg Bingkulas),5.714110,117.300765,JPS/DID
Sabah,Sipitang,2026-02-25,Air Sungai Melimpah,Sungai Lakutan (Kg Mesapol Lama); Sungai Lakutan (Kg Naluyan); Sungai Lakutan (Kg Bebangkong); Sungai Mengalong (Kg Tanjung Nipis); Sungai Mengalong (Kg Pantai); Sungai Mengalong (Kg Kawang Baru); Sungai Mengalong (Kg Kawang Lama); Sungai Mengalong (Kg Kawang Taliair); Sungai Mengalong (Kg Sri Menanti); Sungai Mengalong (Kg Sindumin); Sungai Mengalong (Kg Sindumin Baru); Sungai Mengalong (Kg Petarikan Sindumin); Sungai Mengalong (Kg Skim Sindumin); Sungai Mengalong (Kg Siputol); Sungai Mengalong (Kg Banting); Sungai Mengalong (Kg Luagan); Sungai Mengalong (Kg Kelangsat); Sungai Mengalong (Kg Ranau-Ranau); Sungai Mengalong (Kg Bahagia); Sungai Padas (Kg Long Pasia),4.633510,115.650535,JPS/DID
Sabah,Keningau,2026-02-25,Air Sungai Melimpah,Sungai Padas (Kg.Kahaba Sook),5.220590,116.330635,JPS/DID
Sabah,Tenom,2026-02-25,Air Sungai Melimpah,Sungai Padas (PADSTP0097 - Kg. Binaei); Sungai Padas (Kg. Paguokon Laut); Sungai Padas (Kg. Bunut); Sungai Padas (Kg. Binsilon); Sungai Padas (Kg. Kalang Kanar); Sungai Padas (PADSTP0104 - Kg. Mandalom Lama); Sungai Padas (PADSTP0095 - Kg. Tumantalik); Sungai Padas (Kg. Saga Laut); Sungai Padas (Kg. Tenom Lama),4.910710,115.943365,JPS/DID
Sabah,Nabawan,2026-02-24,"Air Sungai Melimpah, Pembangunan / Pembukaan Tanah / Sampah Sarap",,4.693030,116.464165,JPS/DID
Sabah,Tenom,2026-02-24,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Sungai Padas (Kg. Kuala Tomani); Sungai Padas (Kg. Marais); Sungai Padas (Kg. Kalamatoi); Sungai Padas (PADSTP0102 - Kg. Belumbung Seberang); Sungai Padas (PADSTP0102 - Kg. Belumbung Seberang); Sungai Padas (PADSTP0101 - Kg. Enubai); Sungai Padas (PADSTP0096 - Kg. Pantongan Sapong); Sungai Padas (Kg. Paal Sebrang); Sungai Padas (Kg Batu-batu); Sungai Padas (Kg. Kemabong Lama); Sungai Padas (Kg. Sugiang Lama); Sungai Padas (Kg. Gumisi); Sungai Padas (Kg. Belumbung); Sungai Padas (Kg. Pamaluyan); Sungai Padas (Kg. Akar Hidup); Sungai Padas (Kg. Pulongan Sapong); Sungai Padas (PADSTP0094 - Kg. Batu Lapan); Sungai Padas (Kg. Bangkulin Lama); Sungai Padas (Kg. Kalasasan); Sungai Padas (Kg. Batu 14); Sungai Padas (Kg. Angalor),4.910710,115.943365,JPS/DID
Selangor,Hulu Langat,2026-02-24,Saliran Dalaman,Sungai Langat (SMYHTP0009 - Taman Semenyih Indah),3.074900,101.845620,JPS/DID
Sarawak,Selangau,2026-02-24,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Batang Oya (Jalan Tabalong (Menuju ke Sungai Alat)),2.498055,112.420495,JPS/DID
Sarawak,Sibu,2026-02-24,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Batang Rajang (Rumah Eshter); Batang Rajang (Rumah Menai); Batang Rajang (Rumah Suri Sebansu); Batang Rajang (Rumah Bobo); Batang Rajang (Rumah Raddy Anak Maxswell); Batang Rajang (Rumah Beriak),2.292280,111.866555,JPS/DID
Sabah,Beaufort,2026-02-22,"Air Laut Pasang, Air Sungai Melimpah",Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (Simpang 4 Chan Furniture); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0082 - Kg. Lumatai); Sungai Padas (PADSTP0021 - Kg. Mempagar (SK)); Sungai Padas (PADSTP0020 - Kg. Melulugus); Sungai Padas (PADSTP0084 - Kg. Luagan (SK)); Sungai Padas (PADSTP0022 - Kg. Limbawang); Sungai Padas (PADSTP0041 - Kg. Lubak); Sungai Padas (PADSTP0043 - Kg. Poring); Sungai Padas (PADSTP0076 - Kg. Lupak Tuhu); Sungai Padas (PADSTP0038 - Kg. Beringin); Sungai Padas (PADSTP0052 - Kg. Kukop); Sungai Padas (PADSTP0055 - Kg. Jabang); Sungai Padas (Kg Kangsa); Sungai Padas (PADSTP0054 - Kg. Bangkalalak); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (PADSTP0048 - Kg. Lawa); Sungai Padas (PADSTP0078 - Kg. Kebajang Ulu); Sungai Padas (PADSTP0057 - Kg. Mentulud); Sungai Padas (Kg Indulibai); Sungai Padas (Kg Gumarit); Sungai Padas (PADSTP0060 - Kg. Pancung / Melabau); Sungai Padas (PADSTP0063 - Kg. Rancangan Klias); Sungai Padas (PADSTP0032 - Kg. Pintas Kubu); Sungai Padas (Kg Lumadan); Sungai Padas (PADSTP0044 - Kg. Batandok); Sungai Padas (PADSTP0047 - Kg. Garama); Sungai Padas (PADSTP0045 - Kg. Gadong 2); Sungai Padas (Kg Gelila); Sungai Padas (Kg Sungkadan); Sungai Padas (PADSTP0083 - Kg. Melati); Sungai Padas (Kuarters SESB Beaufort); Sungai Padas (Kuarters Kereta Api); Sungai Padas (Kg Batu 58); Sungai Padas (Kg Jempangah); Sungai Padas (Kg Kitalabak); Sungai Padas (Kg Luagan Sanginan); Sungai Padas (Kg Laboi); Sungai Padas (Kg Mapait); Sungai Padas (PADSTP0031 - Kg. Lajau); Sungai Padas (Kg Tuhu); Sungai Padas (Kg Selinsing); Sungai Padas (Kg Kuala Balik); Sungai Padas (PADSTP0010 - Kg. Batu 65); Sungai Padas (Kg Jaya Baru); Sungai Padas (PADSTP0085 - Kg. Lupak Seberang.); Sungai Padas (PADSTP0002 - Kg. Cina); Sungai Padas (Kg Kurian Padas Damit); Sungai Padas (Kg Klias Baru 54); Sungai Padas (PADSTP0080 - Kg. Bukau (SK)); Sungai Padas (PADSTP0081 - Kg. Tamalang Along); Sungai Padas (PADSTP0030 - Kg. Kebulu Petani); Sungai Padas (PADSTP0028 - Kg. Mananjung); Sungai Padas (PADSTP0046 - Kg. Kuridak); Sungai Padas (PADSTP0033 - Kg. Pintas (SK)); Sungai Padas (PADSTP0001 - Pekan Beaufort); Sungai Padas (PADSTP0063 - Kg. Rancangan Klias); Sungai Padas (Kg Pilajau); Sungai Padas (Kg Kubu),5.291295,115.704555,JPS/DID
Sabah,Tenom,2026-02-21,Air Sungai Melimpah,Sungai Padas (Kg. Marais); Sungai Padas (Kg. Kuala Tomani); Sungai Padas (Kg. Mamaitom),4.910710,115.943365,JPS/DID
Sabah,Tawau,2026-02-21,"Air Laut Pasang, Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Tawau (Kg.Tg.Batu Keramat); Sungai Tawau (TWAUTP0030 - Jln Sin On); Sungai Tawau (Jalan Timur Simpang 5); Sungai Tawau (Kg.Bakau),4.434365,118.027905,JPS/DID
Sarawak,Selangau,2026-02-21,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Mukah (SK Nanga Selangau); Batang Mukah (Jalan Menuju Ke Rumah Nyarapong, Nanga Kalai); Batang Mukah (Rumah Maran, Nanga Selangau); Batang Mukah (Jalan Menuju ke Rumah Balang, Melinau Salin); Batang Mukah (Jalan menuju ke Rumah Awa, Nanga Sebatu)",2.498055,112.420495,JPS/DID
Sarawak,Kuching,2026-02-21,"Air Laut Pasang, Hujan Lebat / Berterusan","Sungai Santubong (Kampung Sungai Batu); Sungai Sarawak (SRWKTP0055 - Kg. Sg. Lumut, Santubong)",1.428430,110.320230,JPS/DID
Sarawak,Lundu,2026-02-21,Air Sungai Melimpah,Batang Kayan (Kpg Bitokan 2); Batang Kayan (Kpg Selampit),1.749525,109.864880,JPS/DID
Sarawak,Selangau,2026-02-21,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Mukah (Rumah Magdeline Entayang, Kampung Baru Melinau); Batang Mukah (Rumah Silvester, Kampung Kara); Batang Mukah (Kampung Engkabang, Selangau); Batang Mukah (SK Nanga Kua)",2.498055,112.420495,JPS/DID
Sarawak,Serian,2026-02-20,Air Sungai Melimpah,Batang Samarahan (SRINTP0003 - Kg. Betong Kenawit); Batang Samarahan (SRINTP0002 - Kg. Lintang Baru Panchor),1.113690,110.636760,JPS/DID
Sarawak,Selangau,2026-02-20,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Mukah (Rumah Senabong,Sungai Serintong,Selangau)",2.498055,112.420495,JPS/DID
Sarawak,Kuching,2026-02-20,Air Sungai Melimpah,Sungai Sarawak (SRKRTP0014 - Kg. Bawang),1.428430,110.320230,JPS/DID
Sarawak,Sibu,2026-02-20,Hujan Lebat / Berterusan,Batang Rajang (Lorong Kampung Jeriah Utara 2B); Batang Rajang (Lorong Kampung Jeriah Utara 2); Batang Rajang (Lorong Jeriah Barat 4),2.292280,111.866555,JPS/DID
Sarawak,Sibu,2026-02-20,Hujan Lebat / Berterusan,Batang Rajang (Lorong Satria Timur),2.292280,111.866555,JPS/DID
Sarawak,Samarahan,2026-02-20,"Air Sungai Melimpah, Saliran Dalaman",Batang Samarahan (TUAGTP0002 - Kg. Endap),1.438020,110.476780,JPS/DID
Sabah,Telupid,2026-02-20,"Air Sungai Melimpah, Saliran Dalaman",Sungai Labuk (Kg sualok); Sungai Labuk (Sk Sualok); Sungai Labuk (Kg Perancangan); Sungai Labuk (Kg Bakong- Bakong),5.784615,117.133115,JPS/DID
Sabah,Kota Marudu,2026-02-20,"Air Laut Pasang, Air Sungai Melimpah",Sungai Bongon (Kg.Boruol); Sungai Bandau (TNDKTP0001 - Kg. Tandek); Sungai Bongon (Kg.Sasayapon); Sungai Bongon (Kg.Morion); Sungai Bongon (Kg.Beliajung); Sungai Bongon (RSAKTP0002 - Kg. Masolog); Sungai Bongon (BGONTP0011 - Kg. Kuranji); Sungai Bongon (BGONTP0005 - Kg. Rakit); Sungai Bongon (Kg.Batition); Sungai Bongon (Kg.Asin-Asin),6.449675,116.836480,JPS/DID
Sabah,Pitas,2026-02-20,Air Laut Pasang,Sungai Sinsilog (BGKKTP0024 - Kg. Rukom Laut); Sungai Sinsilog (BGKKTP0006 - Kg. Kalumpang); Sungai Sinsilog (BGKKTP0029 - Kg. Bilangau Besar); Sungai Kanibongan (BGKKTP0025 - Kg. Kanibongan); Sungai Kanibongan (Kg.Desa Seberang),6.730620,117.071975,JPS/DID
Sarawak,Lundu,2026-02-20,Air Sungai Melimpah,Batang Kayan (Kpg Sileng Melayu); Batang Kayan (Jalan Satu Kpg.Sileng Melayu); Batang Kayan (Taman Mawar); Batang Kayan (Jalan Lundu-Sekambal),1.749525,109.864880,JPS/DID
Sabah,Sandakan,2026-02-20,Air Sungai Melimpah,"Sungai Segaliud (Kampung Garinono, Batu 25, Sandakan); Sungai Samawang (Kampung Sungai Memanjang, Batu 36, Sandakan)",5.809575,117.980665,JPS/DID
Sarawak,Lundu,2026-02-20,Air Sungai Melimpah,Batang Kayan (Akses Jalan ke Kpg Pasir Tengah); Batang Kayan (Akses Jalan ke Kpg Pasir Hilir),1.749525,109.864880,JPS/DID
Sabah,Sandakan,2026-02-20,Air Sungai Melimpah,,5.809575,117.980665,JPS/DID
Sabah,Sandakan,2026-02-20,Air Sungai Melimpah,,5.809575,117.980665,JPS/DID
Sabah,Sandakan,2026-02-20,Air Sungai Melimpah,,5.809575,117.980665,JPS/DID
Sarawak,Lundu,2026-02-20,Air Sungai Melimpah,"Batang Kayan (SK Bokah, Lundu)",1.749525,109.864880,JPS/DID
Sarawak,Lundu,2026-02-20,Air Sungai Melimpah,Batang Kayan (Kpg Selampit),1.749525,109.864880,JPS/DID
Sabah,Sandakan,2026-02-20,Air Sungai Melimpah,,5.809575,117.980665,JPS/DID
Sabah,Kudat,2026-02-19,"Air Sungai Melimpah, Hujan Lebat / Berterusan",,7.003630,117.129360,JPS/DID
Sarawak,Bau,2026-02-19,Air Sungai Melimpah,Sungai Sarawak (Kampung Segong),1.383520,110.101050,JPS/DID
Sabah,Beluran,2026-02-19,Air Sungai Melimpah,Sungai Paitan (Kg. Batangon Darat); Sungai Paitan (Kg. Dalamas); Sungai Paitan (Kg. Kabuluh); Sungai Paitan (Kg. Kaindangan); Sungai Paitan (Kg. Tanjung nipis); Sungai Paitan (Kg. Simpangan); Sungai Paitan (Kg. Lubang Buaya); Sungai Paitan (Kg. Puru Batu),6.199915,117.313095,JPS/DID
Johor,Johor Bahru,2026-02-18,"Longkang Tersumbat, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman",Sungai Skudai (DNGATP0002 - Kg. Tuah Jaya),1.480505,103.782305,JPS/DID
Melaka,Alor Gajah,2026-02-17,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Sungai Melaka (Gadek Luar),2.383510,102.106500,JPS/DID
Melaka,Alor Gajah,2026-02-17,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Melaka (Melaka Pindah),2.383510,102.106500,JPS/DID
Perak,Muallim,2026-02-17,Air Sungai Melimpah,Sungai Bernam (Kampung Orang Asli Sg Lembing); Sungai Bernam (Kampung Orang Asli Chenain),3.897530,101.435130,JPS/DID
Melaka,Melaka Tengah,2026-02-17,"Air Laut Pasang, Hujan Lebat / Berterusan, Longkang Tersumbat, Saliran Dalaman",Sungai Melaka (MLKTP00027 - Pengkalan Rama Tengah); Sungai Melaka (MLKTP02021 - SK (P) Durian Daun); Sungai Duyong (DYNGTP0008 - Kg. Padang Semabok),2.192180,102.243470,JPS/DID
Melaka,Melaka Tengah,2026-02-17,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Duyong (PCNATP0004 - Bukit Pulau),2.192180,102.243470,JPS/DID
Melaka,Melaka Tengah,2026-02-17,"Hujan Lebat / Berterusan, Saliran Dalaman",Sungai Duyong (MLKTP00136 - Jln. Ayer Keroh),2.192180,102.243470,JPS/DID
Selangor,Kuala Selangor,2026-02-17,Saliran Dalaman,,3.379540,101.297520,JPS/DID
Selangor,Klang,2026-02-17,Saliran Dalaman,"Sungai Klang (Taman Melawis (Jalan Tanjung, Jalan Emas) Klang); Sungai Klang (Kg Bukit Kapar (Jalan Bukit Payung, Jalan Kempas, )",3.037315,101.395560,JPS/DID
Selangor,Klang,2026-02-16,Saliran Dalaman,"Sungai Klang (Taman Rashna dan Kawasan Perindustrian Sg Rasau); Sungai Klang (Taman Mutiara, Bukit Raja dan Jalan Meru Batu 3)",3.037315,101.395560,JPS/DID
Perak,Kinta,2026-02-16,Air Sungai Melimpah,Sungai Perak (KINTTP0030 - Kg. Tengku Hussin); Sungai Perak (Jalan Datok); Sungai Perak (Jalan Raja (Pintu Gerbang)),4.515585,101.160745,JPS/DID
Perak,Kinta,2026-02-16,Air Sungai Melimpah,Sungai Perak (Taman Birch); Sungai Perak (PRITP00015 - Taman Cherry); Sungai Perak (SMK Sg Pari dan SMK Seri Puteri); Sungai Perak (KINTTP0033 - Kg Taili); Sungai Perak (Jalan Coldstream),4.515585,101.160745,JPS/DID
Selangor,Petaling,2026-02-16,Saliran Dalaman,Sungai Klang (DMSRTP0001 - Kg. Melayu Subang); Sungai Klang (I-City Shah Alam); Sungai Klang (Subang Perantau),3.104900,101.579100,JPS/DID
Perak,Kinta,2026-02-16,Saliran Dalaman,"Sungai Perak (KINTTP0036 - Kg. Seri Kinta, Lorong 5 dan 1)",4.515585,101.160745,JPS/DID
Perak,Kinta,2026-02-16,"Air Sungai Melimpah, Pembangunan / Pembukaan Tanah / Sampah Sarap, Saliran Dalaman","Sungai Perak (Arena Kepayang Putra, Fair Park); Sungai Perak (FRU Sungai Senam)",4.515585,101.160745,JPS/DID
Perak,Kinta,2026-02-16,Saliran Dalaman,Sungai Perak (Taman Hock Aun),4.515585,101.160745,JPS/DID
Melaka,Melaka Tengah,2026-02-15,"Hujan Lebat / Berterusan, Saliran Dalaman","Sungai Melaka (MLKTP00112 - Tmn Seri Jati, Tmn Ara)",2.192180,102.243470,JPS/DID
Sabah,Sipitang,2026-02-11,Air Sungai Melimpah,Sungai Mengalong (Kg Luagan); Sungai Mengalong (Kg Tanjung Nipis); Sungai Mengalong (Kg Kawang Lama); Sungai Mengalong (Kg Kawang Baru); Sungai Mengalong (Kg Sindumin Baru); Sungai Mengalong (Kg Ranau-Ranau); Sungai Mengalong (Kg Siputol); Sungai Mengalong (Kg Pantai Lama); Sungai Mengalong (Kg Sindumin); Sungai Mengalong (Kg Banting),4.633510,115.650535,JPS/DID
Sabah,Beaufort,2026-02-11,Air Sungai Melimpah,Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (PADSTP0041 - Kg. Lubak); Sungai Padas (Kg. Koundu); Sungai Padas (PADSTP0052 - Kg. Kukop); Sungai Padas (PADSTP0005 - Kg. Batu 60); Sungai Padas (Kg. Kangsa); Sungai Padas (PADSTP0054 - Kg. Bangkalalak); Sungai Padas (Kg. Gumarit); Sungai Padas (PADSTP0021 - Kg. Mempagar (SK)); Sungai Padas (PADSTP0020 - Kg. Melulugus); Sungai Padas (PADSTP0056 - Kg. Berumbai); Sungai Padas (PADSTP0048 - Kg. Lawa); Sungai Padas (Simpang 4 Jalan Chan Furniture); Sungai Padas (PADSTP0082 - Kg. Lumatai); Sungai Padas (Kg. Sungkadan); Sungai Padas (PADSTP0080 - Kg. Bukau (SK)); Sungai Padas (Kg. Lumadan); Sungai Padas (PADSTP0084 - Kg. Luagan (SK)),5.291295,115.704555,JPS/DID
Sabah,Keningau,2026-02-11,Air Sungai Melimpah,Sungai Padas (Kg.Dalit Stesen Sook),5.220590,116.330635,JPS/DID
Sabah,Tenom,2026-02-11,Air Sungai Melimpah,Sungai Padas (Kg Saga Laut); Sungai Padas (PADSTP0098 - Kg. Ponontomon); Sungai Padas (Kg. Pantungon Saga); Sungai Padas (PADSTP0104 - Kg. Mandalom Lama); Sungai Padas (PADSTP0095 - Kg. Tumantalik); Sungai Padas (PADSTP0097 - Kg. Binaei); Sungai Padas (Kg. Batu-Batu),4.910710,115.943365,JPS/DID
Sabah,Tenom,2026-02-11,Air Sungai Melimpah,Sungai Padas (PADSTP0101 - Kg. Enubai); Sungai Padas (PADSTP0096 - Kg. Pantongan Sapong),4.910710,115.943365,JPS/DID
Sabah,Keningau,2026-02-10,Air Sungai Melimpah,Sungai Padas (Kg.Kauran); Sungai Padas (Jalan Kg.Kitung),5.220590,116.330635,JPS/DID
Sabah,Tenom,2026-02-10,Air Sungai Melimpah,,4.910710,115.943365,JPS/DID
Sabah,Keningau,2026-02-04,"Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Padas (Kg Kauran),5.220590,116.330635,JPS/DID
Sabah,Lahad Datu,2026-02-04,"Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Segama (Jalan Singamata); Sungai Segama (Jalan Segama),5.118435,118.366545,JPS/DID
Sarawak,Samarahan,2026-02-03,"Longkang Tersumbat, Saliran Dalaman",Batang Lupar (KAMPUNG BAJONG); Batang Lupar (Kampung Sg Tambai),1.438020,110.476780,JPS/DID
Sabah,Keningau,2026-02-02,"Air Sungai Melimpah, Longkang Tersumbat, Saliran Dalaman",Sungai Padas (Kampung Tuntumulud); Sungai Padas (Kampung Buang Sayang); Sungai Padas (Kg Minansut),5.220590,116.330635,JPS/DID
Sarawak,Selangau,2026-01-26,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Balingian (Jalan Ulu Sungai Arip); Batang Balingian (Rumah Lanting, Jalan Nanga Gun); Batang Balingian (Rumah Tony, Jalan Lubok Achong); Batang Balingian (Rumah Joseph, Jalan Ulu Sungai Arip); Batang Balingian (SK Ulu Sungai Arip)",2.498055,112.420495,JPS/DID
Sarawak,Samarahan,2026-01-26,"Air Laut Pasang, Saliran Dalaman",Batang Sadong (SMJNTP0003 - Kg. Seruyuk),1.438020,110.476780,JPS/DID
Sarawak,Lundu,2026-01-25,Air Sungai Melimpah,Batang Kayan (SK Bokah),1.749525,109.864880,JPS/DID
Sarawak,Samarahan,2026-01-25,"Lain-lain, Saliran Dalaman",Sungai Sarawak (Taman Samarindah Lrg 29); Sungai Sarawak (Taman Unimedia Lrg 1D - 1B),1.438020,110.476780,JPS/DID
Sarawak,Samarahan,2026-01-25,Saliran Dalaman,Batang Samarahan (Kampung Plaie); Batang Samarahan (SAMATP0003 - Kg. Baru); Batang Samarahan (Kampung Jegoi); Batang Samarahan (TUAGTP0008 - Kg. Tanjung Bundong),1.438020,110.476780,JPS/DID
Sabah,Membakut,2026-01-17,"Air Laut Pasang, Air Sungai Melimpah",Sungai Membakut (Kg. Lumantak); Sungai Membakut (Kg. Baitam Baru); Sungai Membakut (Kg. Jambatan Baru); Sungai Membakut (Kg.Takapan); Sungai Membakut (Kg. Kayai); Sungai Membakut (Kg. Lampijas); Sungai Membakut (Kg. Brunei); Sungai Membakut (Kg. Ulu Baitam); Sungai Membakut (Kg.Papas); Sungai Membakut (Kg.Poring); Sungai Membakut (Jalan Bandau); Sungai Membakut (Jalan Balai Polis); Sungai Membakut (Pekan Lama Membakut); Sungai Membakut (Kg. Limadang); Sungai Membakut (Kg. Pimping); Sungai Membakut (Kg.Bingkulas); Sungai Membakut (Kg. Sinoko); Sungai Membakut (Kg. Bambangan),5.714110,117.300765,JPS/DID
Sarawak,Selangau,2026-01-17,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Balingian (Rumah Langut, Tanjung Taroh); Batang Balingian (Rumah Enjup, Tanjung Taroh); Batang Balingian (SK Kuala Lemai)",2.498055,112.420495,JPS/DID
Sabah,Tuaran,2026-01-16,"Air Sungai Melimpah, Saliran Dalaman",,6.063480,116.311815,JPS/DID
Sarawak,Miri,2026-01-15,Air Sungai Melimpah,Batang Suai (TR Ningkan); Batang Suai (TR Ansie); Batang Suai (TR Derit); Batang Suai (TR Thomas); Batang Suai (TR kalom); Batang Suai (Tr jalang); Batang Suai (TR Jesus); Batang Suai (TR Juan),3.787580,114.729625,JPS/DID
WP Labuan,Labuan,2026-01-15,"Air Sungai Melimpah, Hujan Lebat / Berterusan, Saliran Dalaman",,5.289335,115.225540,JPS/DID
Sarawak,Sibu,2026-01-15,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Batang Rajang (Jalan Utama Sungai Assan),2.292280,111.866555,JPS/DID
Sarawak,Selangau,2026-01-14,Air Sungai Melimpah,"Batang Balingian (Jalan Ulu Sungai Arip); Batang Balingian (Rumah Tony, Jalan Lubok Achong); Batang Balingian (Rumah Lagat, Jalan Sepulau)",2.498055,112.420495,JPS/DID
Sarawak,Selangau,2026-01-14,Air Sungai Melimpah,Batang Balingian (SK Kuala Pelugau),2.498055,112.420495,JPS/DID
Sarawak,Selangau,2026-01-14,"Air Sungai Melimpah, Hujan Lebat / Berterusan",Batang Mukah (Jambatan Sungai Luam); Batang Mukah (Jambatan Sungai Mejat); Batang Mukah (SK Nanga Kua),2.498055,112.420495,JPS/DID
Sarawak,Saratok,2026-01-13,"Air Laut Pasang, Longkang Tersumbat, Saliran Dalaman",Batang Kerian (Pasar Saratok),1.765515,111.398360,JPS/DID
Sarawak,Selangau,2026-01-13,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Oya (Jeti Nanga Tamin); Batang Oya (Rumah Ansa, Nanga Tamin); Batang Oya (Rumah Alice, Nanga Tamin); Batang Oya (Klinik Desa, Nanga Tamin); Batang Oya (Rumah Dali, Pasir Terabai); Batang Oya (SK Saint Mark)",2.498055,112.420495,JPS/DID
Sarawak,Selangau,2026-01-13,Air Sungai Melimpah,"Batang Balingian (Jeti Lubuk Bukut); Batang Balingian (Rumah Annie, Lubuk Bukut); Batang Balingian (Rumah Suli, Lubuk Bukut)",2.498055,112.420495,JPS/DID
Sarawak,Pusa,2026-01-12,Saliran Dalaman,Batang Saribas (Jalan Darat Pusa),1.548285,111.159030,JPS/DID
Sarawak,Saratok,2026-01-12,Saliran Dalaman,Batang Kerian (Jalan Perhubungan Sg Nyiar Roban); Batang Kerian (Rh. Anta Jelupang Roban),1.765515,111.398360,JPS/DID
Sarawak,Betong,2026-01-12,"Air Laut Pasang, Air Sungai Melimpah, Saliran Dalaman",Batang Saribas (SPK MALUDAM); Batang Saribas (Rh. Tg. Baru),1.481830,111.483500,JPS/DID
Sarawak,Bintulu,2026-01-11,"Air Sungai Melimpah, Saliran Dalaman",Batang Kemena (KMNATP0024 - Perumahan Bukit Orang); Batang Kemena (Taman Jason),3.313910,113.201905,JPS/DID
Sarawak,Sri Aman,2026-01-11,Air Sungai Melimpah,"Batang Lupar (STRPTP0002 - Jalan menuju ke Semawa); Batang Lupar (Jalan Utama Kampung Jenguk Pantu, Sri Aman)",1.212715,111.300160,JPS/DID
Sarawak,Selangau,2026-01-11,"Air Sungai Melimpah, Hujan Lebat / Berterusan","Batang Balingian (Jalan Menuju Ke Rumah Lapok Dan Rumah Gamang); Batang Balingian (Rumah Banyoi, Lubuk Besai Pelugau)",2.498055,112.420495,JPS/DID
