state,district,flood_date,flood_cause,river_basin,latitude,longitude,source
Pulau Pinang,Timur Laut Pulau Pinang,2026-05-18,Air Laut Pasang,,5.393060,100.290555,JPS/DID
Pulau Pinang,Timur Laut Pulau Pinang,2026-05-18,Air Laut Pasang,,5.393060,100.290555,JPS/DID
Pulau Pinang,Barat Daya Pulau Pinang,2026-05-18,Air Laut Pasang,,5.362050,100.245650,JPS/DID
Sabah,Beaufort,2026-05-18,"Air Laut Pasang, Air Sungai Melimpah",Sungai Padas (PADSTP0018 - Kg. Bakalau); Sungai Padas (PADSTP0036 - Kg. Binunuk); Sungai Padas (PADSTP0035 - Kg. Balibata); Sungai Padas (PADSTP0051 - Kg. Suasa); Sungai Padas (PADSTP0074 - Kg. Lago); Sungai Padas (PADSTP0041 - Kg. Lubak); Sungai Padas (PADSTP0019 - Kg. Bingkul); Sungai Padas (PADSTP0022 - Kg. Limbawang); Sungai Padas (PADSTP0082 - Kg. Lumatai); Sungai Padas (Kg. Kaundo); Sungai Padas (PADSTP0005 - Kg. Batu 60),5.291295,115.704555,JPS/DID
Sarawak,Selangau,2026-05-18,Air Sungai Melimpah,Batang Oya (Jalan Ulu Sungai Pakoh),2.498055,112.420495,JPS/DID
Sarawak,Selangau,2026-05-18,Air Sungai Melimpah,"Batang Mukah (Jalan Menuju Ke RH Nyarapong, Nanga Kalai); Batang Mukah (Jalan Menuju Ke RH Balang, Melinau Salin); Batang Mukah (Jalan Menuju Ke RH Awa, Nanga Sebatu)",2.498055,112.420495,JPS/DID
Sabah,Keningau,2026-05-18,Air Sungai Melimpah,Sungai Padas (Kg.Dalit Stesen Sook); Sungai Padas (Kg.Sanang Sook); Sungai Padas (Kg. Rancangan Belia Tiulon); Sungai Padas (Kg.Mempulut Sook); Sungai Padas (Kg.Kuala Punteh),5.220590,116.330635,JPS/DID
Sabah,Tenom,2026-05-18,Air Sungai Melimpah,Sungai Padas (PADSTP0095 - Kg. Tumantalik); Sungai Padas (PADSTP0098 - Kg. Ponontomon); Sungai Padas (Kg. Binsilon); Sungai Padas (PADSTP0097 - Kg. Binaei); Sungai Padas (Kg. Bunut),4.910710,115.943365,JPS/DID
Sabah,Tenom,2026-05-18,Air Sungai Melimpah,Sungai Padas (Kg. Enubai (Jalan Labut)); Sungai Padas (PADSTP0096 - Kg. Pantongan Sapong),4.910710,115.943365,JPS/DID
Sarawak,Selangau,2026-05-17,Air Sungai Melimpah,"Batang Mukah (RH Magdeline Entayang, Kampung Melinau Baru); Batang Mukah (RH Silvester, Kampung Kara); Batang Mukah (Kampung Engkabang, Selangau); Batang Mukah (SK Nanga Kua)",2.498055,112.420495,JPS/DID
Perak,Kerian,2026-05-17,Air Laut Pasang,Sungai Kurau (Kampung Raja Bashah); Sungai Kurau (Pekan Kuala Kurau),4.988310,100.548990,JPS/DID
Pulau Pinang,Timur Laut Pulau Pinang,2026-05-17,Air Laut Pasang,,5.393060,100.290555,JPS/DID
